artikelnummer,typicality,
6039991,0.84755856,
6062701,0.8118934,
6064801,0.744338,
6325134,0.89717156,
6368421,0.48716176,
6389516,0.79299587,
6389517,0.8127551,
6458766,0.8137163,
6471837,0.6468751,
6499893,0.83603823,
6499897,0.84607303,
6506935,0.8002023,
6506941,0.6792715,
6506949,0.8031227,
6515414,0.4063878,
6515416,0.74384576,
6525922,0.22995149,
6537653,0.86298174,
6537654,0.8295973,
6537655,0.83774614,
6537688,0.8355022,
6537715,0.8301979,
6544855,0.8374017,
6544859,0.81207675,
6544860,0.7773598,
6544861,0.7425957,
6544862,0.7777119,
6544866,0.7891919,
6544868,0.8166851,
6544869,0.49887902,
6544870,0.51568997,
6544871,0.52228683,
6544873,0.6580513,
6545685,0.8179155,
6545686,0.77421767,
6560829,0.62529707,
6560830,0.644181,
6560962,0.8426204,
6562264,0.87520015,
6575891,0.70174783,
6577412,0.6924544,
6577413,0.5745739,
6582577,0.72536767,
6582578,0.7148034,
6589909,0.83333844,
6589910,0.775231,
6589915,0.84764236,
6617110,0.66316783,
6617111,0.64051193,
6648057,0.8961536,
6652384,0.8411901,
6656286,0.7928863,
6656492,0.8070283,
6659143,0.7065958,
6659144,0.67824256,
6659146,0.73165447,
6659148,0.613643,
6688180,0.6611207,
6692299,0.87190396,
6692302,0.7913372,
6692667,0.88077,
6692668,0.8345336,
6705950,0.8140935,
6732771,0.82614,
6737610,0.8513642,
6737633,0.8421811,
6737643,0.8802907,
6750718,0.5096138,
6751883,0.86153764,
6757682,0.89213973,
6757683,0.92880774,
6784707,0.82876146,
6795784,0.6722424,
6799603,0.74823016,
6799604,0.76810247,
6799816,0.75770074,
6799817,0.72224265,
6799818,0.7286978,
6799819,0.8092515,
6799820,0.79266036,
6831991,0.74443436,
6831992,0.8222446,
6831993,0.8044033,
6831994,0.81323904,
6833625,0.79921097,
6833626,0.7606173,
6833627,0.9235205,
6836468,0.17862333,
6842741,0.8538511,
6842742,0.8145674,
6842743,0.83625686,
6848990,0.54463273,
6850842,0.81224024,
6850843,0.7919967,
6850844,0.90086925,
6858973,0.7820461,
6858974,0.79603624,
6858975,0.80738455,
6858976,0.84865505,
6858977,0.8204126,
6858978,0.851942,
6863518,0.92327905,
6863521,0.90188515,
6869247,0.69874245,
6869297,0.82321745,
6869298,0.82621807,
6869299,0.8098692,
6879374,0.8045384,
6879396,0.7302082,
6879404,0.79840744,
6879751,0.2013633,
6883687,0.51135933,
6883688,0.6107839,
6883689,0.73418933,
6883690,0.7099621,
6886381,0.5113072,
6886385,0.5192161,
6886386,0.52383286,
6890681,0.70216185,
6892590,0.8467244,
6892593,0.8356216,
6892594,0.785612,
6892596,0.7736053,
6892597,0.7394583,
6892598,0.61653495,
6894173,0.8344852,
6894174,0.8100306,
6939137,0.9087853,
6939144,0.8819056,
6939145,0.9041416,
6939146,0.9041416,
6939147,0.8641517,
6939148,0.8641517,
6939896,0.8046863,
6949258,0.8169621,
6949259,0.85524994,
6949364,0.79005873,
6949365,0.89546305,
6949844,0.77721685,
6949845,0.74548745,
6949846,0.88147783,
6955908,0.8283981,
6965169,0.8616526,
6965170,0.81903255,
6965837,0.89780974,
6968452,0.4788828,
6968453,0.6723813,
6970339,0.5519668,
6970340,0.6739852,
6970341,0.5886323,
6970355,0.82540244,
6970431,0.8318497,
6970462,0.9169895,
6970463,0.92139375,
6972469,0.84055823,
6972470,0.9074765,
6972520,0.90772325,
6974401,0.6979491,
6976333,0.88894236,
6976334,0.8012425,
6976338,0.87966365,
6978929,0.5976806,
6980987,0.93210125,
6984191,0.22258797,
6984192,0.2451362,
6984193,0.2526076,
6984194,0.27277753,
6986785,0.8449048,
6986803,0.8202999,
6988372,0.5999572,
6989102,0.85914284,
6989103,0.82560366,
6990663,0.49231175,
6990664,0.49562198,
6992122,0.8014714,
6992964,0.8461044,
6992965,0.8339307,
6992966,0.81638026,
6992970,0.8542951,
6993398,0.8859435,
6993402,0.8403311,
6994491,0.8031,
6994492,0.87116224,
6994493,0.8858634,
6994494,0.8375814,
6994495,0.83008343,
6994500,0.881935,
6994501,0.8689327,
6994502,0.8564383,
6994503,0.8530331,
6994504,0.8940305,
6994505,0.780559,
6994507,0.7641386,
6994508,0.726866,
6994513,0.72417104,
7001949,0.52131885,
7001953,0.82156247,
7002319,0.70262825,
7002322,0.8986759,
7002323,0.7960306,
7002553,0.73224515,
7002554,0.673009,
7002555,0.76937217,
7003975,0.48611042,
7003977,0.79860395,
7005957,0.52580726,
7006733,0.90760183,
7006736,0.8828052,
7008673,0.8988414,
7008747,0.41937566,
7008748,0.39212897,
7020209,0.42561278,
7022660,0.8184963,
7023368,0.72357327,
7027081,0.8331517,
7027082,0.8331517,
7027298,0.828577,
7027886,0.88824964,
7028328,0.2359795,
7029813,0.50330675,
7029815,0.5026254,
7029817,0.5607156,
7029821,0.5483042,
7029831,0.5724465,
7031611,0.7183902,
7031614,0.6407565,
7033512,0.58229524,
7033513,0.6055731,
